County,est_acute_beds_available,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29
Alameda,269,"23 [23, 23]","24 [23, 25]","25 [23, 28]","25 [22, 30]","26 [22, 33]","26 [21, 36]","26 [19, 39]","26 [17, 42]","28 [18, 47]","30 [19, 51]","32 [20, 57]","35 [21, 63]","37 [22, 69]","40 [23, 76]","43 [25, 84]","46 [26, 93]","49 [27, 103]","53 [29, 113]","56 [30, 125]","60 [32, 138]","65 [33, 153]","69 [35, 169]","74 [37, 186]","80 [39, 206]","86 [41, 227]","92 [43, 251]","98 [45, 277]","105 [47, 305]","113 [49, 337]","121 [52, 372]","130 [55, 411]"
Butte,87,"2 [2, 2]","2 [1, 2]","2 [1, 2]","2 [1, 2]","2 [1, 2]","2 [1, 2]","2 [1, 2]","2 [1, 3]","2 [1, 3]","2 [1, 3]","2 [1, 4]","2 [1, 4]","2 [1, 4]","3 [2, 5]","3 [2, 5]","3 [2, 6]","3 [2, 7]","3 [2, 7]","4 [2, 8]","4 [2, 9]","4 [2, 10]","4 [2, 11]","5 [2, 12]","5 [2, 13]","5 [3, 15]","6 [3, 16]","6 [3, 18]","7 [3, 20]","7 [3, 22]","8 [3, 24]","8 [3, 26]"
Contra Costa,209,"9 [9, 9]","10 [9, 10]","10 [9, 11]","10 [9, 12]","10 [9, 13]","10 [8, 14]","11 [8, 16]","11 [7, 17]","11 [7, 19]","12 [8, 21]","13 [8, 23]","14 [9, 25]","15 [9, 28]","16 [9, 31]","17 [10, 34]","18 [10, 37]","20 [11, 41]","21 [11, 45]","23 [12, 50]","24 [13, 55]","26 [13, 61]","28 [14, 67]","30 [15, 74]","32 [15, 82]","34 [16, 91]","37 [17, 100]","39 [18, 111]","42 [19, 122]","45 [20, 135]","48 [21, 149]","52 [22, 164]"
El Dorado,35,"2 [2, 2]","2 [2, 2]","2 [2, 3]","2 [2, 3]","3 [2, 3]","3 [2, 3]","3 [2, 4]","3 [2, 4]","3 [2, 5]","3 [2, 5]","3 [2, 6]","3 [2, 6]","4 [2, 7]","4 [2, 7]","4 [2, 8]","4 [3, 9]","5 [3, 10]","5 [3, 11]","6 [3, 12]","6 [3, 14]","6 [3, 15]","7 [3, 17]","7 [4, 18]","8 [4, 20]","8 [4, 22]","9 [4, 25]","10 [4, 27]","10 [5, 30]","11 [5, 33]","12 [5, 36]","13 [5, 40]"
Fresno,258,"4 [4, 4]","4 [4, 4]","4 [4, 5]","4 [4, 5]","4 [4, 6]","4 [3, 6]","4 [3, 7]","4 [3, 7]","5 [3, 8]","5 [3, 9]","5 [3, 10]","6 [4, 11]","6 [4, 12]","7 [4, 13]","7 [4, 14]","8 [4, 16]","8 [5, 17]","9 [5, 19]","10 [5, 21]","10 [5, 23]","11 [6, 26]","12 [6, 28]","13 [6, 31]","13 [6, 35]","14 [7, 38]","15 [7, 42]","17 [8, 47]","18 [8, 51]","19 [8, 57]","20 [9, 63]","22 [9, 69]"
Humboldt,38,"0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [1, 2]","1 [1, 3]","1 [1, 3]","1 [1, 3]","1 [1, 3]","1 [1, 4]","2 [1, 4]","2 [1, 5]","2 [1, 5]","2 [1, 6]","2 [1, 6]","2 [1, 7]"
Imperial,14,"7 [7, 7]","8 [7, 8]","8 [7, 9]","8 [7, 10]","8 [7, 10]","8 [7, 11]","8 [6, 12]","8 [6, 13]","9 [6, 15]","10 [6, 16]","10 [6, 18]","11 [7, 20]","12 [7, 22]","13 [7, 24]","14 [8, 27]","15 [8, 29]","16 [9, 33]","17 [9, 36]","18 [10, 40]","19 [10, 44]","21 [11, 48]","22 [11, 53]","24 [12, 59]","25 [12, 65]","27 [13, 72]","29 [13, 79]","31 [14, 88]","33 [15, 97]","36 [16, 107]","38 [16, 118]","41 [17, 130]"
Kern,202,"6 [6, 6]","6 [6, 7]","6 [6, 7]","7 [6, 8]","7 [6, 8]","7 [5, 9]","7 [5, 10]","7 [5, 11]","7 [5, 12]","8 [5, 13]","8 [5, 15]","9 [6, 16]","10 [6, 18]","10 [6, 20]","11 [6, 22]","12 [7, 24]","13 [7, 27]","14 [7, 29]","15 [8, 32]","16 [8, 36]","17 [9, 39]","18 [9, 44]","19 [9, 48]","21 [10, 53]","22 [10, 59]","24 [11, 65]","25 [12, 72]","27 [12, 79]","29 [13, 87]","31 [13, 96]","34 [14, 106]"
Kings,0,"1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 3]","1 [1, 3]","2 [1, 3]","2 [1, 4]","2 [1, 4]","2 [1, 4]","2 [1, 5]","2 [1, 5]","2 [1, 6]","3 [1, 6]","3 [1, 7]","3 [1, 8]","3 [1, 9]","3 [2, 10]","4 [2, 11]","4 [2, 12]","4 [2, 13]","5 [2, 14]"
Los Angeles,2690,"220 [220, 220]","227 [219, 240]","233 [215, 261]","239 [210, 284]","243 [203, 309]","246 [193, 336]","248 [181, 365]","248 [164, 397]","266 [173, 438]","285 [181, 484]","305 [191, 534]","327 [200, 590]","350 [210, 651]","376 [221, 719]","403 [232, 793]","431 [244, 876]","462 [257, 967]","496 [270, 1068]","531 [283, 1179]","569 [298, 1302]","610 [313, 1437]","654 [329, 1587]","701 [345, 1752]","751 [363, 1935]","805 [381, 2136]","863 [401, 2358]","925 [421, 2604]","991 [442, 2875]","1062 [465, 3174]","1138 [488, 3504]","1220 [513, 3869]"
Madera,22,"0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [1, 2]","1 [1, 2]","1 [1, 3]","1 [1, 3]","1 [1, 3]","1 [1, 3]","1 [1, 4]","2 [1, 4]","2 [1, 5]","2 [1, 5]","2 [1, 6]","2 [1, 6]","2 [1, 7]"
Marin,89,"4 [4, 4]","4 [4, 4]","4 [4, 4]","4 [4, 5]","4 [3, 5]","4 [3, 6]","4 [3, 6]","4 [3, 7]","5 [3, 7]","5 [3, 8]","5 [3, 9]","6 [3, 10]","6 [4, 11]","6 [4, 12]","7 [4, 14]","7 [4, 15]","8 [4, 16]","8 [5, 18]","9 [5, 20]","10 [5, 22]","10 [5, 25]","11 [6, 27]","12 [6, 30]","13 [6, 33]","14 [7, 36]","15 [7, 40]","16 [7, 44]","17 [8, 49]","18 [8, 54]","19 [8, 60]","21 [9, 66]"
Mendocino,16,"1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 3]","1 [1, 3]","2 [1, 3]","2 [1, 4]","2 [1, 4]","2 [1, 4]","2 [1, 5]","2 [1, 5]","2 [1, 6]","3 [1, 7]","3 [1, 7]","3 [1, 8]","3 [1, 9]","3 [2, 10]","4 [2, 11]","4 [2, 12]","4 [2, 13]"
Merced,49,"0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [1, 2]","1 [1, 2]","1 [1, 3]","1 [1, 3]","1 [1, 3]","1 [1, 4]","1 [1, 4]","2 [1, 4]","2 [1, 5]","2 [1, 5]","2 [1, 6]","2 [1, 6]","2 [1, 7]"
Monterey,106,"4 [4, 4]","4 [4, 5]","5 [4, 5]","5 [4, 6]","5 [4, 6]","5 [4, 7]","5 [4, 7]","5 [3, 8]","5 [3, 9]","6 [4, 9]","6 [4, 10]","6 [4, 11]","7 [4, 13]","7 [4, 14]","8 [5, 15]","8 [5, 17]","9 [5, 19]","10 [5, 21]","10 [6, 23]","11 [6, 25]","12 [6, 28]","13 [6, 31]","14 [7, 34]","15 [7, 38]","16 [7, 42]","17 [8, 46]","18 [8, 51]","19 [9, 56]","21 [9, 62]","22 [10, 68]","24 [10, 75]"
Napa,47,"1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","2 [1, 3]","2 [1, 3]","2 [1, 3]","2 [1, 4]","2 [1, 4]","2 [1, 4]","2 [1, 5]","3 [1, 5]","3 [1, 6]","3 [2, 7]","3 [2, 7]","3 [2, 8]","4 [2, 9]","4 [2, 10]","4 [2, 11]","4 [2, 12]","5 [2, 13]","5 [2, 15]","5 [2, 16]","6 [3, 18]","6 [3, 20]"
Nevada,0,"10 [10, 10]","10 [9, 10]","10 [9, 11]","10 [9, 12]","11 [9, 13]","11 [8, 15]","11 [8, 16]","11 [7, 17]","11 [7, 19]","12 [8, 21]","13 [8, 23]","14 [9, 25]","15 [9, 28]","16 [10, 31]","17 [10, 34]","19 [11, 38]","20 [11, 42]","21 [12, 46]","23 [12, 51]","25 [13, 56]","26 [14, 62]","28 [14, 69]","30 [15, 76]","32 [16, 84]","35 [16, 92]","37 [17, 102]","40 [18, 113]","43 [19, 124]","46 [20, 137]","49 [21, 151]","53 [22, 167]"
