County,est_acute_beds_available,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29
Alameda,269,,,,,,,,,,,,,,,,,,,,,,,,,,,"0 [0, 8]","0 [0, 36]","0 [0, 68]","0 [0, 103]","0 [0, 142]"
Butte,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contra Costa,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Dorado,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0 [0, 1]","0 [0, 5]"
Fresno,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperial,14,,,,,,,,,"0 [0, 1]","0 [0, 2]","0 [0, 4]","0 [0, 6]","0 [0, 8]","0 [0, 10]","0 [0, 13]","1 [0, 15]","2 [0, 19]","3 [0, 22]","4 [0, 26]","5 [0, 30]","7 [0, 34]","8 [0, 39]","10 [0, 45]","11 [0, 51]","13 [0, 58]","15 [0, 65]","17 [0, 74]","19 [1, 83]","22 [2, 93]","24 [2, 104]","27 [3, 116]"
Kern,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kings,0,"1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 3]","1 [1, 3]","2 [1, 3]","2 [1, 4]","2 [1, 4]","2 [1, 4]","2 [1, 5]","2 [1, 5]","2 [1, 6]","3 [1, 6]","3 [1, 7]","3 [1, 8]","3 [1, 9]","3 [2, 10]","4 [2, 11]","4 [2, 12]","4 [2, 13]","5 [2, 14]"
Los Angeles,2690,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0 [0, 185]","0 [0, 484]","0 [0, 814]","0 [0, 1179]"
Madera,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marin,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mendocino,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merced,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monterey,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Napa,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,0,"10 [10, 10]","10 [9, 10]","10 [9, 11]","10 [9, 12]","11 [9, 13]","11 [8, 15]","11 [8, 16]","11 [7, 17]","11 [7, 19]","12 [8, 21]","13 [8, 23]","14 [9, 25]","15 [9, 28]","16 [10, 31]","17 [10, 34]","19 [11, 38]","20 [11, 42]","21 [12, 46]","23 [12, 51]","25 [13, 56]","26 [14, 62]","28 [14, 69]","30 [15, 76]","32 [16, 84]","35 [16, 92]","37 [17, 102]","40 [18, 113]","43 [19, 124]","46 [20, 137]","49 [21, 151]","53 [22, 167]"
Orange,721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Placer,44,,,,,,,,,,,,,,,,,,,,,"0 [0, 3]","0 [0, 7]","0 [0, 13]","0 [0, 19]","0 [0, 25]","0 [0, 32]","0 [0, 40]","0 [0, 49]","0 [0, 59]","0 [0, 70]","0 [0, 81]"
Riverside,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego,757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0 [0, 47]","0 [0, 130]"
San Francisco,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0 [0, 3]","0 [0, 28]","0 [0, 54]"
